"n","m","rmse","mae","r2","offline","online"
2,2,1.01634316444621,0.82521550575373,0.185650986696845,0.391845965385437,0.098169207572937
2,3,1.00337340343101,0.798991482421759,0.206347364636279,1.03943002223969,0.132864999771118
2,4,1.01877271593014,0.818248168188518,NA,1.03942694664001,0.132197260856628
2,5,1.00572276251342,0.798314985974042,0.20313515002001,1.35953049659729,0.118348479270935
2,6,1.02670223644453,0.825371986828983,NA,1.34820327758789,0.122989177703857
2,7,1.00029548749321,0.795591514637567,0.211762936196013,1.68542046546936,0.12042088508606
2,8,1.01041650436635,0.808164205577272,NA,1.71136116981506,0.112136721611023
3,2,1.006098506242,0.79658441578409,0.202115567983529,0.919757676124573,0.131130433082581
3,3,0.98982340565346,0.782695064624575,0.227720565363044,1.21218819618225,0.131446766853333
3,4,0.990195980186832,0.790471940124965,0.227341510076213,1.45544543266296,0.124893283843994
3,5,0.987014505236111,0.785038255232998,0.23213965324271,1.76898109912872,0.118988418579102
3,6,0.983822984057226,0.780729672659631,0.237163060490931,1.77842876911163,0.11152491569519
3,7,0.996054377703474,0.791467916818741,0.218130082944778,1.90832166671753,0.134856081008911
3,8,1.00725735528048,0.80271105521777,NA,2.11286351680756,0.115701270103455
4,2,1.00167171584496,0.796178970930916,0.209204374367066,0.895876502990723,0.10084388256073
4,3,0.989181869211187,0.786336780536805,0.228916911189324,1.02335021495819,0.100052976608276
4,4,0.993792538262415,0.790352520508199,0.221504187549641,1.11161801815033,0.104633760452271
4,5,0.989305348674915,0.784518572950619,0.228741920879887,1.95255169868469,0.11249418258667
4,6,0.984923621152724,0.783638049546478,0.235665465001874,2.30488829612732,0.141601610183716
4,7,0.988329452271797,0.786040591777727,0.230487338658862,2.20069880485535,0.137056016921997
4,8,0.99470710651954,0.790071568682358,0.22061180966575,2.12726809978485,0.118014597892761
5,2,1.01441856098531,0.814364755701084,NA,1.00293707847595,0.115509223937988
5,3,0.996329115575689,0.794556133835667,0.217680867673741,1.73705289363861,0.125197410583496
5,4,0.983842510441619,0.780187787512622,0.237239174899048,1.9646684885025,0.126721978187561
5,5,0.984681890543602,0.780847675251674,0.236119947048961,2.02225651741028,0.125778937339783
5,6,0.985880525607738,0.78321871860005,0.234192515108754,2.01243417263031,0.118172907829285
5,7,1.00447582392157,0.803752074658008,NA,2.15784227848053,0.119423174858093
5,8,0.984977752609076,0.782594616729947,0.235614657027849,3.20949177742004,0.122215747833252
6,2,1.01613969322381,0.813826100566627,NA,1.49928283691406,0.112146735191345
6,3,1.00458912007496,0.804817024528034,NA,1.47715170383453,0.120850348472595
6,4,0.985876180863865,0.783252022487556,0.234399496498464,1.69192667007446,0.114984488487244
6,5,0.985357666804157,0.782984395940446,0.235373163620613,1.87221975326538,0.123157620429993
6,6,0.986396871524299,0.782409538644593,0.233415781489561,2.61339068412781,0.120135116577148
6,7,0.989509015621573,0.788647436329149,0.228600892453368,2.72962250709534,0.1207439661026
6,8,0.985697810038742,0.784048844460756,0.234461299788389,2.76731386184692,0.121654582023621
7,2,0.995682842683463,0.793372988429871,0.218648945534744,2.19203455448151,0.127917909622192
7,3,0.988506519237421,0.787642578504053,0.229963719890569,1.58988287448883,0.0962125301361084
7,4,0.983206187718445,0.781935846861939,0.238169560706239,2.07031855583191,0.0973747968673706
7,5,0.987833097972491,0.783419839224752,0.231550987763856,2.04814817905426,0.0947398900985718
7,6,0.98520709174639,0.781681549470777,0.235529450212866,2.12233068943024,0.0968145847320557
7,7,0.98715952900828,0.78469754484212,0.232328554912169,2.54753596782684,0.0932281970977783
7,8,0.989270426853903,0.787932769813617,0.228946313920539,2.73576099872589,0.0940433263778686
8,2,1.02199020737166,0.822357789042887,NA,1.37802219390869,0.101499128341675
8,3,0.999558564302873,0.799532275010387,NA,1.89087612628937,0.0995676755905151
8,4,0.995001125086698,0.792679029770524,0.21984084722043,2.22372996807098,0.106756258010864
8,5,1.00268025343033,0.803831816430526,NA,2.15103797912598,0.100737953186035
8,6,0.985767113933721,0.784230012340049,0.234636062467894,2.25234084129333,0.100092649459839
8,7,0.990565166311176,0.788679933072474,0.227011900257335,3.24070909023285,0.102228689193726
8,8,0.99035215937127,0.787590376283082,0.227470550338183,3.44160015583038,0.102732872962952
