"gow","hl","kproto","mk","msk","famd","mrk","kam"
0.0715605033692544,1.17831529347052,917.541788655159,341.116314250871,1172.36588096861,2811.02137176112,10293.9738312258,-3016.08569382173
0.0620025232732135,1.02528355689888,782.158106041353,216.017601839501,990.926823690665,2089.39410055752,9800.54118352613,-2040.02615969376
0.0556496310795726,0.951313740624543,719.218658087435,164.261114627124,911.23764082859,1576.20159600876,9370.20896489905,-1266.90894962523
0.0499610890592495,0.868783185710674,626.546298122074,134.990138917671,831.241885654209,1378.7019566635,9251.54618038289,-910.743457336194
0.0443899085837396,0.826811652164899,581.743384845754,121.043194780768,771.809821749876,1204.98771853723,9090.97974317146,-734.106866806096
0.0392378764825627,0.791024892613614,551.494922536424,105.844767831851,730.731061157089,959.263340765079,9032.70884577685,-559.504898779605
0.0361124267712861,0.759591788316351,519.898566578456,99.8998749063596,782.291348713875,822.026455871549,9008.13171455193,-582.720235628541
0.0331979484084238,0.735664160382673,479.721198916945,80.874953061534,749.008543985148,858.051248819395,8994.49570558857,-502.92311192479
0.0305035229420863,0.71221712219516,449.623804245936,70.5466554601809,717.524096562421,847.541846420883,8988.56888977388,-427.827475220747
0.027870572570651,0.692142832258488,484.371938283952,78.2796032092473,712.947694201598,548.100711526791,8969.48149181409,-434.021515027464
0.025542203351231,0.671390532329139,443.37225350541,64.9423785383921,660.824718495793,618.267006714022,8968.77157149099,-465.661472947582
0.0236350782480157,0.653431220062136,427.781700855936,61.3458078360495,664.892073442067,440.063642966366,8958.27254223953,-336.577884710172
0.0217782509497204,0.635090020779994,430.731149425221,62.4505472701896,647.638501782901,406.341919897789,8954.56508064864,-336.687782779624
0.0200779057111761,0.616211781532637,405.236486344035,59.2105806070893,613.234507183041,417.01481432024,8949.50907495345,-402.32897172758
0.0184027093750917,0.600835627529812,0,0,0,427.56249077633,0,0
0.0169098425818422,0.586081141202287,0,0,0,321.443859919632,0,0
0.0155008054634594,0.573333332510024,0,0,0,340.893836361713,0,0
0.0142782893716547,0.558037484574754,0,0,0,296.108121947762,0,0
0.013087209407925,0.544984613746235,0,0,0,317.236388635514,0,0
0.0120721717614152,0.532040798367861,0,0,0,262.114666898657,0,0
0.0111109248229447,0.519402474317634,0,0,0,204.693594556658,0,0
0.0102125501406243,0.507484776933007,0,0,0,244.989601404797,0,0
0.00932395558703826,0.496399425221028,0,0,0,215.872441444747,0,0
0.00871199896051204,0.48667251575386,0,0,0,253.220231431434,0,0
