"rmse","mae","r2","offline","online"
0.933639810851096,0.729236103496075,0.309658410227036,1.10872498353322,1.65550427436829
0.922967330705723,0.721600492722669,0.325352119057087,40.4854619503021,2.13907074928284
0.921604264025053,0.720952690835587,0.3273427999447,51.3694880008698,2.60722942352295
0.921958620891976,0.721613360456979,0.326826688190284,1.02630656957626,3.03201484680176
0.922535922939688,0.72238163103676,0.325984858283815,1.00116339921951,3.28460559844971
0.923268660916828,0.723251769585481,0.324914106820824,54.0246901512146,3.64421424865723
0.92405042215372,0.724035856000772,0.323769389087785,59.9826829433441,3.89664037227631
0.924615583256142,0.724664555794611,0.322940595742808,58.6760959625244,4.12638306617737
0.925178538971622,0.725243223055029,0.322115320150064,52.2139599323273,4.36062028408051
0.925574667896859,0.725648967588936,0.321534651867666,41.9213290214539,4.54221947193146
0.925816520305402,0.72592623488642,0.321180396100455,0,4.68306653499603
0.9259886623663,0.726136450084359,0.320928217506951,0,4.74971885681152
0.926138974869807,0.726316030951292,0.320707972379242,0,4.86376819610596
0.926264335518211,0.726465405995384,0.32052390928666,0,4.89943442344665
0.926359162149158,0.726576942568556,0.320384852122286,0,4.96766459941864
0.92641116740206,0.726642809277199,0.32030877696408,0,5.02087259292603
0.926469295908827,0.726702706316566,0.320223514796664,0,5.1543660402298
0.926504987595756,0.726737241573338,0.320171227232881,0,5.25691728591919
0.926522647449311,0.726751963657434,0.320145332809684,0,5.08823144435883
0.926540026239048,0.726767702987215,0.320119785094111,0,5.20232582092285
0.926550284667031,0.726775264828168,0.320104764221473,0,5.12100718021393
0.926561165121258,0.726782311951421,0.32008877405651,0,5.14484386444092
0.926572258637817,0.726788943833365,0.320072443677445,0,5.14298822879791
0.926576633743672,0.726791560122554,0.320066017962634,0,5.14277601242065
0.926577193560964,0.726790521042761,0.320065178873765,0,5.17245426177979
0.926578676798362,0.726792108561489,0.320063003786645,0,5.16710240840912
0.926580333024823,0.726793855574543,0.320060555313191,0,5.13975298404694
0.926581924054483,0.72679609480226,0.320058214432907,0,5.16302988529205
0.926582678110891,0.726797088318116,0.320057099930208,0,5.17068269252777
0.926583199114898,0.726797856429594,0.320056333682412,0,5.21892833709717
